車款名稱,成本底價,備註
LEXUS ES200 黑 (2018),768000,"里程: 60,733km, 評價: A, 來源: PDF"
LEXUS ES200 白 (2018),559000,"里程: 179,725km, 評價: C+, 來源: PDF"
LEXUS ES200 黑 (2020),823000,"里程: 71,685km, 評價: A+, 來源: PDF"
LEXUS ES200 黑 (2021),899000,"里程: 55,639km, 評價: A+, 來源: PDF"
LEXUS ES200 黑 (2021),984000,"里程: 43,357km, 評價: A+, 來源: PDF"
LEXUS ES200 淺棕 (2022),929000,"里程: 59,788km, 評價: A+, 來源: PDF"
LEXUS ES200 白 (2024),1083000,"里程: 25,403km, 評價: , 來源: PDF"
LEXUS ES200 白 (2024),1143000,"里程: 16,187km, 評價: A+, 來源: PDF"
LEXUS ES250 白 (2019),858000,"里程: 29,544km, 評價: A+, 來源: PDF"
LEXUS ES250 黑 (2022),930000,"里程: 83,894km, 評價: , 來源: PDF"
LEXUS ES300h 黑 (2013),239928,"里程: 239,928km, 評價: B, 來源: PDF"
LEXUS ES300h 灰 (2013),186000,"里程: 163,594km, 評價: B, 來源: PDF"
LEXUS ES300h 銀 (2013),241000,"里程: 165,906km, 評價: A, 來源: PDF"
LEXUS ES300h 黑 (2014),196223,"里程: 196,223km, 評價: C+, 來源: PDF"
LEXUS ES300h 淺棕 (2014),265000,"里程: 165,078km, 評價: B, 來源: PDF"
LEXUS ES300h 黑 (2016),485000,"里程: 141,296km, 評價: A+, 來源: PDF"
LEXUS ES300h 淺棕 (2018),505585,"里程: 505,585km, 評價: , 來源: PDF"
LEXUS ES300h 黑 (2019),597000,"里程: 288,686km, 評價: , 來源: PDF"
LEXUS ES300h 黑 (2022),850000,"里程: 50,846km, 評價: , 來源: PDF"
LEXUS ES300h 黑 (2023),1100000,"里程: 25,111km, 評價: , 來源: PDF"
LEXUS ES350 灰 (2013),165406,"里程: 165,406km, 評價: B, 來源: PDF"
LEXUS GS300h 黑 (2013),330000,"里程: 172,529km, 評價: A, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
LEXUS GS300h 灰 (2014),408000,"里程: 146,942km, 評價: A+, 來源: PDF"
LEXUS GS300h 銀 (2014),211000,"里程: 205,892km, 評價: B, 來源: PDF"
LEXUS GS350 黑 (2016),690000,"里程: 95,987km, 評價: A+, 來源: PDF"
LEXUS IS200t 白 (2016),267000,"里程: 147,503km, 評價: N, 來源: PDF"
LEXUS IS200t 白 (2016),649000,"里程: 82,098km, 評價: A+, 來源: PDF"
LEXUS IS200t 淺棕 (2016),297000,"里程: 258,861km, 評價: B, 來源: PDF"
LEXUS IS200t 白 (2016),384000,"里程: 154,774km, 評價: B, 來源: PDF"
LEXUS IS200t 白 (2017),850000,"里程: 63,873km, 評價: A+, 來源: PDF"
LEXUS IS200t 淺棕 (2017),499000,"里程: 156,560km, 評價: , 來源: PDF"
LEXUS IS300h 黑 (2013),296328,"里程: 296,328km, 評價: B+, 來源: PDF"
LEXUS IS300h 淺棕 (2014),362000,"里程: 8,037km, 評價: , 來源: PDF"
LEXUS IS300h 白 (2014),325000,"里程: 234,885km, 評價: B+, 來源: PDF"
LEXUS IS300h 黑 (2023),1296000,"里程: 51,473km, 評價: A+, 來源: PDF"
LEXUS IS300h 黑 (2023),1311000,"里程: 57,622km, 評價: A+, 來源: PDF"
LEXUS LM300h 黑 (2022),1852000,"里程: 85,115km, 評價: B, 來源: PDF"
LEXUS LM300h 黑 (2023),1700000,"里程: 31,271km, 評價: C, 來源: PDF"
LEXUS NX200 淺棕 (2018),560000,"里程: 175,909km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2019),610000,"里程: 156,464km, 評價: A, 來源: PDF"
LEXUS NX200 白 (2019),794000,"里程: 85,439km, 評價: A, 來源: PDF"
LEXUS NX200 白 (2019),640000,"里程: 149,725km, 評價: A, 來源: PDF"
LEXUS NX200 白 (2020),650000,"里程: 49,811km, 評價: , 來源: PDF"
LEXUS NX200 淺棕 (2020),611000,"里程: 212,998km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2020),910000,"里程: 60,444km, 評價: A+, 來源: PDF"
LEXUS NX200 淺棕 (2020),944000,"里程: 12,238km, 評價: A, 來源: PDF"
LEXUS NX200 白 (2020),763000,"里程: 121,471km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2021),824000,"里程: 97,605km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2022),1194000,"里程: 25,828km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2022),965000,"里程: 116,829km, 評價: A, 來源: PDF"
LEXUS NX200 白 (2022),1058000,"里程: 64,162km, 評價: A, 來源: PDF"
LEXUS NX200 白 (2023),1265000,"里程: 38,714km, 評價: A+, 來源: PDF"
LEXUS NX200 淺棕 (2023),1241000,"里程: 30,777km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2024),1213000,"里程: 26,544km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2024),1190000,"里程: 30,045km, 評價: A+, 來源: PDF"
LEXUS NX200 白 (2024),1196000,"里程: 36,859km, 評價: A+, 來源: PDF"
LEXUS NX200 淺棕 (2024),1166000,"里程: 27,808km, 評價: A+, 來源: PDF"
LEXUS NX200t 白 (2015),565000,"里程: 81,611km, 評價: A, 來源: PDF"
LEXUS NX200t 淺棕 (2016),543000,"里程: 152,325km, 評價: A+, 來源: PDF"
LEXUS NX200t 淺棕 (2016),472000,"里程: 142,922km, 評價: , 來源: PDF"
LEXUS NX200t 淺棕 (2016),472000,"里程: 235,961km, 評價: A, 來源: PDF"
LEXUS NX200t 淺棕 (2017),490000,"里程: 201,878km, 評價: A, 來源: PDF"
LEXUS NX200t 淺棕 (2017),564000,"里程: 120,864km, 評價: A+, 來源: PDF"
LEXUS NX250 黑 (2022),1150000,"里程: 84,600km, 評價: A+, 來源: PDF"
LEXUS NX300 白 (2017),652000,"里程: 148,729km, 評價: , 來源: PDF"
LEXUS NX300 白 (2018),790000,"里程: 137,442km, 評價: A+, 來源: PDF"
LEXUS NX300 白 (2020),1040000,"里程: 45,208km, 評價: A+, 來源: PDF"
LEXUS NX300 白 (2020),1153000,"里程: 15,975km, 評價: A+, 來源: PDF"
LEXUS NX300h 淺棕 (2014),338968,"里程: 338,968km, 評價: , 來源: PDF"
LEXUS NX300h 黑 (2015),594000,"里程: 138,106km, 評價: A, 來源: PDF"
LEXUS NX300h 黑 (2017),457000,"里程: 241,565km, 評價: A, 來源: PDF"
LEXUS NX300h 淺棕 (2018),440000,"里程: 279,244km, 評價: A, 來源: PDF"
LEXUS NX350h 白 (2023),1690000,"里程: 40,562km, 評價: A+, 來源: PDF"
LEXUS RX200t 淺棕 (2016),490000,"里程: 362,489km, 評價: B, 來源: PDF"
LEXUS RX200t 棕 (2017),865000,"里程: 75,696km, 評價: A+, 來源: PDF"
LEXUS RX200t 黑 (2017),490000,"里程: 305,712km, 評價: , 來源: PDF"
LEXUS RX200t 深藍 (2017),789000,"里程: 69,156km, 評價: B, 來源: PDF"
LEXUS RX200t 淺棕 (2017),735000,"里程: 143,511km, 評價: A+, 來源: PDF"
LEXUS RX270 黑 (2012),258594,"里程: 258,594km, 評價: B+, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
LEXUS RX270 銀 (2013),220997,"里程: 220,997km, 評價: B, 來源: PDF"
LEXUS RX270 銀 (2013),203000,"里程: 120,912km, 評價: B, 來源: PDF"
LEXUS RX270 銀 (2013),278000,"里程: 158,048km, 評價: A, 來源: PDF"
LEXUS RX270 銀 (2015),439000,"里程: 73,125km, 評價: A+, 來源: PDF"
LEXUS RX300 白 (2018),647000,"里程: 171,169km, 評價: , 來源: PDF"
LEXUS RX300 淺棕 (2019),950000,"里程: 113,866km, 評價: A, 來源: PDF"
LEXUS RX300 白 (2020),1231000,"里程: 46,288km, 評價: B, 來源: PDF"
LEXUS RX300 黑 (2022),1293000,"里程: 21,648km, 評價: A, 來源: PDF"
LEXUS RX350 棕 (2006),198729,"里程: 198,729km, 評價: B, 來源: PDF"
LEXUS RX350 銀 (2007),260097,"里程: 260,097km, 評價: B, 來源: PDF"
LEXUS RX350 黑 (2007),313979,"里程: 313,979km, 評價: , 來源: PDF"
LEXUS RX350 深灰 (2009),179025,"里程: 179,025km, 評價: B+, 來源: PDF"
LEXUS RX350 黑 (2010),262650,"里程: 262,650km, 評價: B, 來源: PDF"
LEXUS RX350 白 (2023),1453000,"里程: 47,371km, 評價: C+, 來源: PDF"
LEXUS RX350 淺棕 (2024),1743000,"里程: 12,874km, 評價: A+, 來源: PDF"
LEXUS RX350h 白 (2023),1558000,"里程: 108,864km, 評價: A+, 來源: PDF"
LEXUS RX450h 銀 (2009),136000,"里程: 118,393km, 評價: A+, 來源: PDF"
LEXUS RX450h 深灰 (2009),246638,"里程: 246,638km, 評價: B, 來源: PDF"
LEXUS RX450h 深灰 (2009),258447,"里程: 258,447km, 評價: B+, 來源: PDF"
LEXUS RX450h 銀 (2010),212056,"里程: 212,056km, 評價: A+, 來源: PDF"
LEXUS RX450h 銀 (2011),233362,"里程: 233,362km, 評價: A, 來源: PDF"
LEXUS RX450h 銀 (2012),225097,"里程: 225,097km, 評價: , 來源: PDF"
LEXUS RX450h 黑 (2013),258321,"里程: 258,321km, 評價: A, 來源: PDF"
LEXUS RX450h 白 (2014),298000,"里程: 106,467km, 評價: B+, 來源: PDF"
LEXUS RX450h 淺棕 (2018),814000,"里程: 93,935km, 評價: A+, 來源: PDF"
LEXUS RX450h 黑 (2021),1049000,"里程: 111,196km, 評價: B, 來源: PDF"
LEXUS RX450h 淺棕 (2022),1347000,"里程: 55,214km, 評價: A, 來源: PDF"
LEXUS RZ450e 白 (2023),1250000,"里程: 22,769km, 評價: B, 來源: PDF"
LEXUS SC430 紅 (2004),262619,"里程: 262,619km, 評價: B+, 來源: PDF"
LEXUS SC430 深紫 (2005),162000,"里程: 75,840km, 評價: A, 來源: PDF"
LEXUS SC430 紅 (2006),204296,"里程: 204,296km, 評價: A, 來源: PDF"
LEXUS UX200 白 (2019),453000,"里程: 171,674km, 評價: A+, 來源: PDF"
LEXUS UX200 淺棕 (2020),649000,"里程: 92,971km, 評價: A, 來源: PDF"
LEXUS UX200 淺棕 (2022),726000,"里程: 47,475km, 評價: A, 來源: PDF"
LEXUS UX250h 白 (2020),744000,"里程: 74,884km, 評價: A+, 來源: PDF"
LEXUS UX250h 白 (2022),931000,"里程: 16,589km, 評價: A+, 來源: PDF"
LEXUS UX250h 白 (2022),778000,"里程: 89,057km, 評價: A+, 來源: PDF"
LEXUS UX250h 白 (2023),955000,"里程: 17,353km, 評價: A+, 來源: PDF"
LEXUS UX300h 白 (2025),860000,"里程: 8,377km, 評價: , 來源: PDF"
LUXGEN CEO 黑 (2010),251377,"里程: 251,377km, 評價: B, 來源: PDF"
LUXGEN M7 白 (2015),103000,"里程: 87,558km, 評價: A+, 來源: PDF"
LUXGEN M7 白 (2016),146000,"里程: 90,634km, 評價: , 來源: PDF"
LUXGEN M7 白 (2016),183352,"里程: 183,352km, 評價: B, 來源: PDF"
LUXGEN M7 銀 (2018),155000,"里程: 50,035km, 評價: A, 來源: PDF"
LUXGEN M7 黑 (2019),173000,"里程: 131,715km, 評價: A, 來源: PDF"
LUXGEN M7 白 (2019),270000,"里程: 53,202km, 評價: A+, 來源: PDF"
LUXGEN M7 深灰彩繪 (2020),232000,"里程: 71,164km, 評價: A, 來源: PDF"
LUXGEN M7 黑 (2020),160000,"里程: 139,603km, 評價: B+, 來源: PDF"
LUXGEN MPV 銀 (2010),157896,"里程: 157,896km, 評價: B, 來源: PDF"
LUXGEN S3 深紫 (2016),53136,"里程: 53,136km, 評價: B, 來源: PDF"
LUXGEN S3 深灰 (2016),141674,"里程: 141,674km, 評價: B, 來源: PDF"
LUXGEN S3 白 (2016),178810,"里程: 178,810km, 評價: A+, 來源: PDF"
LUXGEN S5 白 (2013),117311,"里程: 117,311km, 評價: B, 來源: PDF"
LUXGEN S5 白 (2014),165995,"里程: 165,995km, 評價: A+, 來源: PDF"
LUXGEN S5 黑 (2016),66000,"里程: 39,269km, 評價: A+, 來源: PDF"
LUXGEN S5 黑 (2016),134889,"里程: 134,889km, 評價: , 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
LUXGEN U5 黑藍 (2017),163295,"里程: 163,295km, 評價: , 來源: PDF"
LUXGEN U5 黑 (2019),111000,"里程: 99,672km, 評價: A+, 來源: PDF"
LUXGEN U5 黑 (2019),109000,"里程: 94,607km, 評價: A, 來源: PDF"
LUXGEN U6 白 (2014),243519,"里程: 243,519km, 評價: B, 來源: PDF"
LUXGEN U6 黑 (2014),92628,"里程: 92,628km, 評價: , 來源: PDF"
LUXGEN U6 白 (2014),144662,"里程: 144,662km, 評價: B, 來源: PDF"
LUXGEN U6 白 (2015),178413,"里程: 178,413km, 評價: B, 來源: PDF"
LUXGEN U6 白 (2016),236881,"里程: 236,881km, 評價: B, 來源: PDF"
LUXGEN U6 紅 (2016),88000,"里程: 84,601km, 評價: A+, 來源: PDF"
LUXGEN U6 白 (2016),278237,"里程: 278,237km, 評價: , 來源: PDF"
LUXGEN U6 黑 (2016),114596,"里程: 114,596km, 評價: B, 來源: PDF"
LUXGEN U6 白 (2016),140534,"里程: 140,534km, 評價: A, 來源: PDF"
LUXGEN U6 灰 (2016),103763,"里程: 103,763km, 評價: C+, 來源: PDF"
LUXGEN U6 灰 (2016),121000,"里程: 60,368km, 評價: A, 來源: PDF"
LUXGEN U6 白 (2017),124324,"里程: 124,324km, 評價: A+, 來源: PDF"
LUXGEN U6 白 (2017),105000,"里程: 92,181km, 評價: , 來源: PDF"
LUXGEN U6 黑 (2017),121340,"里程: 121,340km, 評價: , 來源: PDF"
LUXGEN U6 紅 (2018),139000,"里程: 78,850km, 評價: A+, 來源: PDF"
LUXGEN U6 灰 (2022),249000,"里程: 35,628km, 評價: A, 來源: PDF"
LUXGEN U7 橙黃 (2010),221746,"里程: 221,746km, 評價: A, 來源: PDF"
LUXGEN U7 銀 (2019),145000,"里程: 51,279km, 評價: , 來源: PDF"
LUXGEN URX 白 (2020),185000,"里程: 142,416km, 評價: A+, 來源: PDF"
LUXGEN URX 深藍 (2021),321000,"里程: 35,836km, 評價: A, 來源: PDF"
LUXGEN URX 白 (2021),67000,"里程: 0km, 評價: B, 來源: PDF"
LUXGEN URX 黑白 (2022),248000,"里程: 106,747km, 評價: B+, 來源: PDF"
MAHINDRA SCORPIO 白 (2019),110070,"里程: 110,070km, 評價: A+, 來源: PDF"
MAZDA CX-3 深紅 (2016),269000,"里程: 59,513km, 評價: B+, 來源: PDF"
MAZDA CX-3 深紅 (2017),229000,"里程: 60,909km, 評價: B, 來源: PDF"
MAZDA CX-3 深藍 (2017),193000,"里程: 98,286km, 評價: B, 來源: PDF"
MAZDA CX-3 灰 (2018),306000,"里程: 115,646km, 評價: A+, 來源: PDF"
MAZDA CX-3 白 (2019),271000,"里程: 127,547km, 評價: B, 來源: PDF"
MAZDA CX-30 白 (2021),496000,"里程: 66,774km, 評價: A, 來源: PDF"
MAZDA CX-30 白 (2022),597000,"里程: 51,929km, 評價: A+, 來源: PDF"
MAZDA CX-5 黑 (2014),142000,"里程: 132,712km, 評價: A, 來源: PDF"
MAZDA CX-5 銀 (2015),171000,"里程: 109,203km, 評價: A+, 來源: PDF"
MAZDA CX-5 銀 (2015),371975,"里程: 371,975km, 評價: B, 來源: PDF"
MAZDA CX-5 深藍 (2018),369000,"里程: 112,226km, 評價: A, 來源: PDF"
MAZDA CX-5 白 (2019),420000,"里程: 111,338km, 評價: A, 來源: PDF"
MAZDA CX-5 白 (2020),405000,"里程: 130,374km, 評價: B+, 來源: PDF"
MAZDA CX-5 灰 (2020),369000,"里程: 149,714km, 評價: A+, 來源: PDF"
MAZDA CX-5 灰 (2021),573000,"里程: 77,815km, 評價: A, 來源: PDF"
MAZDA CX-5 深紅 (2023),584000,"里程: 87,754km, 評價: A+, 來源: PDF"
MAZDA CX-9 白 (2021),702000,"里程: 74,874km, 評價: A+, 來源: PDF"
MAZDA MAZDA 淺藍 (2011),198339,"里程: 198,339km, 評價: , 來源: PDF"
MAZDA MAZDA 黑 (2009),169579,"里程: 169,579km, 評價: B, 來源: PDF"
MAZDA MAZDA 灰 (2010),211484,"里程: 211,484km, 評價: B, 來源: PDF"
MAZDA MAZDA 黑 (2010),105892,"里程: 105,892km, 評價: C+, 來源: PDF"
MAZDA MAZDA 灰 (2011),167265,"里程: 167,265km, 評價: B, 來源: PDF"
MAZDA MAZDA 黑 (2011),175316,"里程: 175,316km, 評價: B, 來源: PDF"
MAZDA MAZDA 黑 (2014),157521,"里程: 157,521km, 評價: B, 來源: PDF"
MAZDA MAZDA 銀 (2015),210000,"里程: 113,617km, 評價: A+, 來源: PDF"
MAZDA MAZDA 白 (2015),157000,"里程: 102,157km, 評價: , 來源: PDF"
MAZDA MAZDA 白 (2016),240000,"里程: 98,480km, 評價: A+, 來源: PDF"
MAZDA MAZDA 灰 (2016),172346,"里程: 172,346km, 評價: B, 來源: PDF"
MAZDA MAZDA 白 (2016),205363,"里程: 205,363km, 評價: A, 來源: PDF"
MAZDA MAZDA 灰 (2016),247000,"里程: 76,177km, 評價: A+, 來源: PDF"
MAZDA MAZDA 深紅 (2016),191403,"里程: 191,403km, 評價: A+, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
MAZDA MAZDA 深紅 (2017),295987,"里程: 295,987km, 評價: B, 來源: PDF"
MAZDA MAZDA 白 (2017),303000,"里程: 145,234km, 評價: , 來源: PDF"
MAZDA MAZDA 深藍 (2018),219000,"里程: 111,516km, 評價: B, 來源: PDF"
MAZDA MAZDA 白 (2018),229000,"里程: 128,723km, 評價: , 來源: PDF"
MAZDA MAZDA 白 (2018),300000,"里程: 116,309km, 評價: , 來源: PDF"
MAZDA MAZDA 深紅 (2018),230000,"里程: 181,417km, 評價: A, 來源: PDF"
MAZDA MAZDA 灰 (2018),264000,"里程: 115,651km, 評價: B+, 來源: PDF"
MAZDA MAZDA 深藍 (2018),333000,"里程: 74,619km, 評價: B+, 來源: PDF"
MAZDA MAZDA 灰 (2019),403000,"里程: 59,056km, 評價: A+, 來源: PDF"
MAZDA MAZDA 白 (2019),338000,"里程: 79,139km, 評價: , 來源: PDF"
MAZDA MAZDA 白 (2022),413000,"里程: 206,524km, 評價: B, 來源: PDF"
MAZDA MAZDA 白 (2012),107000,"里程: 106,020km, 評價: B, 來源: PDF"
MAZDA MAZDA 白 (2012),208042,"里程: 208,042km, 評價: B, 來源: PDF"
MAZDA MAZDA 黑 (2012),121510,"里程: 121,510km, 評價: A+, 來源: PDF"
MAZDA MAZDA 白 (2013),188221,"里程: 188,221km, 評價: B, 來源: PDF"
MAZDA MAZDA 灰 (2013),291625,"里程: 291,625km, 評價: B, 來源: PDF"
MAZDA MAZDA 淺藍 (2013),120153,"里程: 120,153km, 評價: A, 來源: PDF"
MAZDA MAZDA 淺藍 (2014),109046,"里程: 109,046km, 評價: B, 來源: PDF"
MAZDA MAZDA 白 (2016),259000,"里程: 95,672km, 評價: A+, 來源: PDF"
MAZDA MAZDA 黑 (2015),326375,"里程: 326,375km, 評價: B+, 來源: PDF"
MAZDA MAZDA 白 (2016),208405,"里程: 208,405km, 評價: A+, 來源: PDF"
MAZDA MAZDA 白 (2016),123885,"里程: 123,885km, 評價: B, 來源: PDF"
MAZDA MAZDA 灰 (2022),560000,"里程: 101,342km, 評價: A+, 來源: PDF"
MAZDA MAZDA 白 (2022),264000,"里程: 34,737km, 評價: C, 來源: PDF"
MG HS 白 (2023),499000,"里程: 33,173km, 評價: A+, 來源: PDF"
COUNTRY MAN 黑 (2013),164618,"里程: 164,618km, 評價: N, 來源: PDF"
COUNTRY MAN 紅白 (2018),450000,"里程: 78,906km, 評價: A+, 來源: PDF"
COOPER S 黃白 (2008),140000,"里程: 95,663km, 評價: B, 來源: PDF"
MITSUBISHI CANTER 藍 (2003),160557,"里程: 160,557km, 評價: B, 來源: PDF"
MITSUBISHI CANTER 藍 (2004),203306,"里程: 203,306km, 評價: B, 來源: PDF"
MITSUBISHI CANTER 藍 (2005),230300,"里程: 230,300km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 藍 (2008),420000,"里程: 204,675km, 評價: , 來源: PDF"
MITSUBISHI CANTER 藍 (2009),390000,"里程: 285,504km, 評價: B, 來源: PDF"
MITSUBISHI CANTER 藍 (2012),561949,"里程: 561,949km, 評價: , 來源: PDF"
MITSUBISHI CANTER 藍 (2014),386000,"里程: 233,940km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 藍 (2015),285223,"里程: 285,223km, 評價: , 來源: PDF"
MITSUBISHI CANTER 藍白 (2016),588000,"里程: 197,449km, 評價: B, 來源: PDF"
MITSUBISHI CANTER 藍 (2019),674000,"里程: 147,945km, 評價: A+, 來源: PDF"
MITSUBISHI CANTER 白 (2020),582000,"里程: 184,341km, 評價: A, 來源: PDF"
MITSUBISHI CANTER 白 (2020),571000,"里程: 204,478km, 評價: A+, 來源: PDF"
MITSUBISHI CANTER 白黑 (2020),658000,"里程: 152,365km, 評價: A+, 來源: PDF"
MITSUBISHI CANTER 黃 (2020),651000,"里程: 176,046km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 白 (2021),768000,"里程: 57,519km, 評價: A+, 來源: PDF"
MITSUBISHI CANTER 白 (2021),750000,"里程: 51,387km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 藍 (2021),841000,"里程: 43,576km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 白 (2021),470000,"里程: 171,409km, 評價: A+, 來源: PDF"
MITSUBISHI CANTER 白 (2022),709000,"里程: 119,387km, 評價: A, 來源: PDF"
MITSUBISHI CANTER 藍 (2022),930000,"里程: 10,027km, 評價: A+, 來源: PDF"
CANTER 白 橙黃 (2022),592000,"里程: 261,353km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 藍 (2022),922000,"里程: 50,813km, 評價: B+, 來源: PDF"
MITSUBISHI CANTER 藍 (2022),726000,"里程: 87,096km, 評價: B, 來源: PDF"
COLT PLUS 白 (2008),82951,"里程: 82,951km, 評價: C+, 來源: PDF"
COLT PLUS 灰 (2010),56267,"里程: 56,267km, 評價: A, 來源: PDF"
COLT PLUS 灰 (2015),99508,"里程: 99,508km, 評價: A, 來源: PDF"
COLT PLUS 白 (2016),131526,"里程: 131,526km, 評價: A+, 來源: PDF"
COLT PLUS 藍 (2018),119667,"里程: 119,667km, 評價: A+, 來源: PDF"
COLT PLUS 白 (2018),127274,"里程: 127,274km, 評價: B, 來源: PDF"
 (2025),202512,"里程: Unknown, 評價: , 來源: PDF"
COLT PLUS 白 (2020),95000,"里程: 64,483km, 評價: B, 來源: PDF"
COLT PLUS 灰 (2021),137188,"里程: 137,188km, 評價: A, 來源: PDF"
COLT PLUS 白 (2022),115000,"里程: 107,404km, 評價: , 來源: PDF"
COLT PLUS 白 (2022),145000,"里程: 126,213km, 評價: A+, 來源: PDF"
COLT PLUS 白 (2022),204000,"里程: 36,756km, 評價: A+, 來源: PDF"
COLT PLUS 白 (2023),248000,"里程: 54,727km, 評價: A, 來源: PDF"
MITSUBISHI DELICA 銀 (2008),150287,"里程: 150,287km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 銀 (2010),276769,"里程: 276,769km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 白 (2011),127441,"里程: 127,441km, 評價: , 來源: PDF"
MITSUBISHI DELICA 銀 (2013),108138,"里程: 108,138km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 銀灰 (2013),80000,"里程: 59,836km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 白 (2015),277603,"里程: 277,603km, 評價: A+, 來源: PDF"
MITSUBISHI DELICA 藍 (2015),292903,"里程: 292,903km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 藍 (2016),186110,"里程: 186,110km, 評價: N, 來源: PDF"
MITSUBISHI DELICA 藍 (2016),135000,"里程: 131,420km, 評價: A, 來源: PDF"
MITSUBISHI DELICA 藍 (2017),131000,"里程: 115,806km, 評價: , 來源: PDF"
MITSUBISHI DELICA 白 (2018),118000,"里程: 47,480km, 評價: B, 來源: PDF"
綠 藍 紅 (2018),112368,"里程: 112,368km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 白 (2020),236000,"里程: 138,180km, 評價: B+, 來源: PDF"
MITSUBISHI DELICA 橙黃 (2020),170000,"里程: 132,520km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 橙黃 (2020),224000,"里程: 111,060km, 評價: B+, 來源: PDF"
MITSUBISHI DELICA 藍 (2020),308000,"里程: 122,623km, 評價: A, 來源: PDF"
MITSUBISHI DELICA 白 (2020),370000,"里程: 49,054km, 評價: A+, 來源: PDF"
MITSUBISHI DELICA 銀 (2020),283000,"里程: 95,202km, 評價: B, 來源: PDF"
MITSUBISHI DELICA 藍 (2020),238000,"里程: 139,980km, 評價: A, 來源: PDF"
MITSUBISHI DELICA 白 (2020),191000,"里程: 99,931km, 評價: , 來源: PDF"
MITSUBISHI DELICA 藍 (2020),254000,"里程: 149,059km, 評價: A, 來源: PDF"
MITSUBISHI DELICA 藍 (2022),265000,"里程: 83,864km, 評價: A, 來源: PDF"
MITSUBISHI DELICA 藍 (2022),338000,"里程: 77,619km, 評價: B+, 來源: PDF"
MITSUBISHI DELICA 白綠彩繪 (2022),184604,"里程: 184,604km, 評價: , 來源: PDF"
MITSUBISHI DELICA 銀 (2022),375000,"里程: 86,887km, 評價: , 來源: PDF"
MITSUBISHI DELICA 銀 (2022),301000,"里程: 92,280km, 評價: , 來源: PDF"
MITSUBISHI DELICA 棕 (2022),308000,"里程: 95,340km, 評價: A+, 來源: PDF"
ECLIPSE CROSS 灰 (2018),218000,"里程: 158,725km, 評價: A, 來源: PDF"
MITSUBISHI FORTIS 白 (2011),242718,"里程: 242,718km, 評價: B, 來源: PDF"
MITSUBISHI FORTIS 白 (2012),13000,"里程: 0km, 評價: B, 來源: PDF"
MITSUBISHI FORTIS 白黑 (2015),160223,"里程: 160,223km, 評價: C, 來源: PDF"
MITSUBISHI FUSO 白 (2024),2706000,"里程: 0km, 評價: N, 來源: PDF"
MITSUBISHI J-SPACE 白 (2024),450000,"里程: 553km, 評價: A+, 來源: PDF"
MITSUBISHI J-SPACE 藍 (2025),428000,"里程: 1,315km, 評價: A+, 來源: PDF"
MITSUBISHI LANCER 白 (2010),135617,"里程: 135,617km, 評價: B+, 來源: PDF"
MITSUBISHI LANCER 白 (2016),80000,"里程: 28,374km, 評價: A, 來源: PDF"
MITSUBISHI LANCER 黑 (2017),144080,"里程: 144,080km, 評價: A, 來源: PDF"
MITSUBISHI LANCER 白 (2019),158000,"里程: 121,507km, 評價: , 來源: PDF"
MITSUBISHI LANCER 白 (2020),155000,"里程: 141,398km, 評價: A+, 來源: PDF"
MITSUBISHI LANCER 灰 (2020),55000,"里程: 0km, 評價: C+, 來源: PDF"
MITSUBISHI LANCER 灰 (2023),169000,"里程: 35,661km, 評價: C+, 來源: PDF"
LANCER iO 黑 (2015),115708,"里程: 115,708km, 評價: B, 來源: PDF"
MITSUBISHI OUTLANDER 藍 (2013),106205,"里程: 106,205km, 評價: , 來源: PDF"
MITSUBISHI OUTLANDER 銀 (2013),211340,"里程: 211,340km, 評價: , 來源: PDF"
MITSUBISHI OUTLANDER 黑 (2014),140000,"里程: 64,327km, 評價: , 來源: PDF"
MITSUBISHI OUTLANDER 棕 (2015),166000,"里程: 65,717km, 評價: A, 來源: PDF"
MITSUBISHI OUTLANDER 白 (2015),216294,"里程: 216,294km, 評價: B+, 來源: PDF"
